Date,Open,High,Low,Close,Volume
2025-05-29 00:00:00+00:00,172.22,173.7,171.35,173.63,132008.878
2025-05-29 01:00:00+00:00,173.63,173.67,172.51,172.97,90382.46
2025-05-29 02:00:00+00:00,172.97,175.12,172.28,175.02,187642.319
2025-05-29 03:00:00+00:00,175.02,175.34,173.32,173.7,143351.786
2025-05-29 04:00:00+00:00,173.69,173.95,170.12,171.94,161834.253
2025-05-29 05:00:00+00:00,171.95,172.52,171.64,172.02,68180.426
2025-05-29 06:00:00+00:00,172.02,172.84,171.78,172.57,43906.958
2025-05-29 07:00:00+00:00,172.58,173.02,171.91,172.23,52917.598
2025-05-29 08:00:00+00:00,172.23,173.41,171.64,173.06,80115.888
2025-05-29 09:00:00+00:00,173.07,173.23,172.38,172.71,51355.095
2025-05-29 10:00:00+00:00,172.71,172.86,172.13,172.61,42803.521
2025-05-29 11:00:00+00:00,172.61,173.46,172.51,172.88,77352.713
2025-05-29 12:00:00+00:00,172.87,172.92,171.45,171.83,92670.153
2025-05-29 13:00:00+00:00,171.83,172.52,170.52,170.8,152382.456
2025-05-29 14:00:00+00:00,170.8,171.02,169.03,170.72,273188.905
2025-05-29 15:00:00+00:00,170.71,170.97,169.61,169.75,80645.402
2025-05-29 16:00:00+00:00,169.76,170.3,167.82,168.38,184684.644
2025-05-29 17:00:00+00:00,168.38,169.47,168.01,168.81,132772.511
2025-05-29 18:00:00+00:00,168.82,169.81,167.85,167.88,106705.539
2025-05-29 19:00:00+00:00,167.88,168.33,166.03,166.84,214442.972
2025-05-29 20:00:00+00:00,166.83,167.61,166.74,167.28,104554.88
2025-05-29 21:00:00+00:00,167.29,168.55,167.19,168.4,44628.628
2025-05-29 22:00:00+00:00,168.41,168.44,167.02,167.03,61223.238
2025-05-29 23:00:00+00:00,167.03,167.57,165.96,166.71,62038.745
2025-05-30 00:00:00+00:00,166.71,167.51,160.13,161.85,405938.453
2025-05-30 01:00:00+00:00,161.86,164.1,161.65,163.45,237914.271
2025-05-30 02:00:00+00:00,163.44,165.31,163.36,165.1,146607.915
2025-05-30 03:00:00+00:00,165.09,165.77,164.83,165.16,79760.685
2025-05-30 04:00:00+00:00,165.15,165.48,164.51,165.36,66579.014
2025-05-30 05:00:00+00:00,165.36,165.86,164.73,165.24,100502.421
2025-05-30 06:00:00+00:00,165.24,165.27,162.57,163.46,127811.414
2025-05-30 07:00:00+00:00,163.47,164.35,162.63,162.68,154723.486
2025-05-30 08:00:00+00:00,162.68,163.98,161.88,163.59,140260.113
2025-05-30 09:00:00+00:00,163.58,164.15,161.48,163.16,172163.401
2025-05-30 10:00:00+00:00,163.16,163.87,162.21,163.84,92030.47
2025-05-30 11:00:00+00:00,163.83,164.16,163.37,163.83,66618.668
2025-05-30 12:00:00+00:00,163.83,163.96,161.74,162.98,141235.679
2025-05-30 13:00:00+00:00,162.99,163.4,160.75,160.89,146925.734
2025-05-30 14:00:00+00:00,160.89,162.05,160.1,160.99,175956.132
2025-05-30 15:00:00+00:00,160.99,162.27,160.82,161.23,151040.841
2025-05-30 16:00:00+00:00,161.23,161.77,156.01,157.86,433102.198
2025-05-30 17:00:00+00:00,157.87,159.19,157.7,158.57,144604.569
2025-05-30 18:00:00+00:00,158.58,160.8,158.33,160.42,213876.805
2025-05-30 19:00:00+00:00,160.41,161.51,160.06,160.81,62831.279
2025-05-30 20:00:00+00:00,160.81,160.91,159.84,159.9,47956.463
2025-05-30 21:00:00+00:00,159.9,161.03,159.79,159.96,64463.05
2025-05-30 22:00:00+00:00,159.96,160.25,156.73,156.75,187161.469
2025-05-30 23:00:00+00:00,156.75,157.46,155.22,156.2,210214.982
2025-05-31 00:00:00+00:00,156.2,157.24,154.46,155.84,195149.199
2025-05-31 01:00:00+00:00,155.84,156.83,152.54,153.3,306860.34
2025-05-31 02:00:00+00:00,153.29,155.15,152.18,152.54,165193.733
2025-05-31 03:00:00+00:00,152.55,154.49,152.14,154.16,98477.788
2025-05-31 04:00:00+00:00,154.15,155.72,153.03,155.67,82972.138
2025-05-31 05:00:00+00:00,155.68,155.86,154.21,154.23,66670.86
2025-05-31 06:00:00+00:00,154.23,155.5,154.04,155.13,51712.122
2025-05-31 07:00:00+00:00,155.13,155.27,154.21,154.84,39414.901
2025-05-31 08:00:00+00:00,154.85,155.26,154.21,155.0,66036.858
2025-05-31 09:00:00+00:00,154.99,155.16,153.56,153.88,77080.664
2025-05-31 10:00:00+00:00,153.88,154.79,152.73,153.52,100950.604
2025-05-31 11:00:00+00:00,153.52,153.64,152.62,152.92,76312.239
2025-05-31 12:00:00+00:00,152.92,155.18,152.57,155.1,102311.707
2025-05-31 13:00:00+00:00,155.1,156.03,154.51,154.83,132483.952
2025-05-31 14:00:00+00:00,154.83,155.95,154.75,155.69,116095.235
2025-05-31 15:00:00+00:00,155.69,156.77,155.37,155.63,117267.763
2025-05-31 16:00:00+00:00,155.64,156.86,155.19,156.65,113774.842
2025-05-31 17:00:00+00:00,156.65,156.8,155.51,155.67,91477.724
2025-05-31 18:00:00+00:00,155.67,156.63,155.58,156.42,32271.161
2025-05-31 19:00:00+00:00,156.41,157.97,156.41,157.52,95145.224
2025-05-31 20:00:00+00:00,157.53,157.68,157.16,157.38,43839.83
2025-05-31 21:00:00+00:00,157.38,157.97,157.08,157.81,77427.136
2025-05-31 22:00:00+00:00,157.8,158.01,156.86,156.87,51426.368
2025-05-31 23:00:00+00:00,156.86,157.68,156.31,156.45,51905.364
2025-06-01 00:00:00+00:00,156.45,156.68,155.73,156.22,53827.518
2025-06-01 01:00:00+00:00,156.22,156.73,154.68,155.18,81301.465
2025-06-01 02:00:00+00:00,155.19,155.34,154.29,154.79,79089.156
2025-06-01 03:00:00+00:00,154.79,154.9,153.4,154.72,103724.205
2025-06-01 04:00:00+00:00,154.72,155.94,154.56,155.5,62203.549
2025-06-01 05:00:00+00:00,155.5,155.92,155.13,155.39,46788.715
2025-06-01 06:00:00+00:00,155.38,155.45,154.62,154.84,44026.475
2025-06-01 07:00:00+00:00,154.84,154.94,154.14,154.45,39180.786
2025-06-01 08:00:00+00:00,154.45,154.64,152.92,153.37,103733.981
2025-06-01 09:00:00+00:00,153.36,153.79,150.81,151.52,191390.334
2025-06-01 10:00:00+00:00,151.52,151.83,150.59,151.62,100775.692
2025-06-01 11:00:00+00:00,151.62,152.34,151.37,152.05,57658.114
2025-06-01 12:00:00+00:00,152.05,152.37,150.66,151.09,61639.804
2025-06-01 13:00:00+00:00,151.09,152.35,151.02,152.02,67561.157
2025-06-01 14:00:00+00:00,152.01,153.92,152.01,153.26,100009.545
2025-06-01 15:00:00+00:00,153.25,154.57,152.99,154.17,79807.089
2025-06-01 16:00:00+00:00,154.18,156.69,154.04,155.89,176514.091
2025-06-01 17:00:00+00:00,155.88,156.73,155.52,156.34,96819.121
2025-06-01 18:00:00+00:00,156.33,156.36,153.47,154.72,152778.058
2025-06-01 19:00:00+00:00,154.72,155.97,154.54,155.89,84379.446
2025-06-01 20:00:00+00:00,155.88,156.23,155.18,155.69,63017.949
2025-06-01 21:00:00+00:00,155.68,157.23,155.58,156.91,58586.679
2025-06-01 22:00:00+00:00,156.9,157.41,156.38,157.2,69482.213
2025-06-01 23:00:00+00:00,157.2,157.92,156.96,157.68,67835.899
2025-06-02 00:00:00+00:00,157.68,158.22,157.19,157.81,95323.856
2025-06-02 01:00:00+00:00,157.81,158.93,157.81,158.06,78251.746
2025-06-02 02:00:00+00:00,158.06,158.28,156.66,156.86,94747.132
2025-06-02 03:00:00+00:00,156.86,156.93,155.36,155.46,111607.753
2025-06-02 04:00:00+00:00,155.46,156.23,155.1,155.29,56210.019
2025-06-02 05:00:00+00:00,155.3,156.21,154.69,155.35,73219.791
2025-06-02 06:00:00+00:00,155.35,156.15,154.66,155.73,71385.801
2025-06-02 07:00:00+00:00,155.73,156.73,155.36,155.55,84030.088
2025-06-02 08:00:00+00:00,155.54,156.55,154.38,154.86,117748.974
2025-06-02 09:00:00+00:00,154.86,154.88,153.21,153.54,144749.119
2025-06-02 10:00:00+00:00,153.53,154.24,152.95,154.01,85683.312
2025-06-02 11:00:00+00:00,154.02,154.65,153.31,153.45,144632.333
2025-06-02 12:00:00+00:00,153.44,154.37,153.14,154.21,106982.848
2025-06-02 13:00:00+00:00,154.22,154.5,152.0,152.24,167003.633
2025-06-02 14:00:00+00:00,152.23,154.27,151.67,153.01,175804.201
2025-06-02 15:00:00+00:00,153.02,153.86,152.04,153.16,127868.931
2025-06-02 16:00:00+00:00,153.16,153.32,152.02,153.04,99387.13
2025-06-02 17:00:00+00:00,153.04,153.84,152.45,153.67,83092.316
2025-06-02 18:00:00+00:00,153.67,155.13,153.03,153.22,103500.69
2025-06-02 19:00:00+00:00,153.22,153.64,151.77,152.95,103302.1
2025-06-02 20:00:00+00:00,152.96,154.54,152.92,154.31,98194.281
2025-06-02 21:00:00+00:00,154.31,155.5,154.24,155.43,70730.222
2025-06-02 22:00:00+00:00,155.42,156.8,155.41,156.22,103236.303
2025-06-02 23:00:00+00:00,156.22,157.24,156.18,156.83,105359.612
2025-06-03 00:00:00+00:00,156.83,159.01,156.39,158.88,194343.948
2025-06-03 01:00:00+00:00,158.88,162.25,158.87,161.95,232438.335
2025-06-03 02:00:00+00:00,161.95,162.38,159.63,159.85,223766.15
2025-06-03 03:00:00+00:00,159.85,160.19,158.35,159.44,117544.123
2025-06-03 04:00:00+00:00,159.45,159.59,158.22,158.46,66783.089
2025-06-03 05:00:00+00:00,158.46,159.75,158.46,159.51,60239.854
2025-06-03 06:00:00+00:00,159.51,159.93,158.93,159.91,73919.333
2025-06-03 07:00:00+00:00,159.92,160.2,159.32,159.82,60079.181
2025-06-03 08:00:00+00:00,159.83,159.92,158.28,159.28,114248.49
2025-06-03 09:00:00+00:00,159.27,160.12,158.7,159.89,61095.952
2025-06-03 10:00:00+00:00,159.9,161.34,159.8,161.23,123605.518
2025-06-03 11:00:00+00:00,161.23,161.65,160.44,160.56,75096.987
2025-06-03 12:00:00+00:00,160.56,161.54,160.21,161.15,76167.33
